,id_hecho,fecha,año,mes,dia,rol,victima,sexo,edad,fecha_fallecimiento
378,2018-0093,2018-08-20,2018,8,20,PEATON,PEATON,MASCULINO,24,2018-08-20
379,2018-0094,2018-08-23,2018,8,23,CONDUCTOR,MOTO,MASCULINO,32,2018-08-23
380,2018-0095,2018-08-26,2018,8,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,49,2018-08-26
381,2018-0096,2018-08-31,2018,8,31,PEATON,PEATON,MASCULINO,39,2018-08-31
382,2018-0097,2018-09-02,2018,9,2,CONDUCTOR,AUTO,FEMENINO,35,2018-09-02
383,2018-0098,2018-09-09,2018,9,9,CONDUCTOR,AUTO,MASCULINO,55,2018-09-09
384,2018-0098,2018-09-09,2018,9,9,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,54,2018-09-09
385,2018-0099,2018-09-12,2018,9,12,PEATON,PEATON,MASCULINO,18,2018-09-13
386,2018-0100,2018-09-20,2018,9,20,SD,MOTO,FEMENINO,33,2018-09-20
387,2018-0101,2018-09-21,2018,9,21,CONDUCTOR,AUTO,MASCULINO,0,2018-09-21
388,2018-0102,2018-09-21,2018,9,21,CONDUCTOR,MOTO,MASCULINO,20,2018-09-21
389,2018-0103,2018-09-27,2018,9,27,PEATON,PEATON,MASCULINO,1,2018-09-29
390,2018-0104,2018-10-01,2018,10,1,CONDUCTOR,MOTO,MASCULINO,22,2018-10-01
391,2018-0105,2018-10-03,2018,10,3,PEATON,PEATON,FEMENINO,56,2018-10-03
392,2018-0106,2018-10-04,2018,10,4,CONDUCTOR,MOTO,MASCULINO,27,2018-10-04
393,2018-0107,2018-10-06,2018,10,6,PEATON,PEATON,FEMENINO,62,2018-10-06
394,2018-0108,2018-10-09,2018,10,9,CONDUCTOR,MOTO,MASCULINO,37,2018-10-10
395,2018-0109,2018-10-10,2018,10,10,PEATON,PEATON,MASCULINO,34,2018-10-10
396,2018-0110,2018-10-13,2018,10,13,PEATON,PEATON,MASCULINO,60,2018-10-14
397,2018-0111,2018-10-19,2018,10,19,CONDUCTOR,MOTO,MASCULINO,28,2018-10-19
398,2018-0112,2018-10-24,2018,10,24,CONDUCTOR,MOTO,FEMENINO,28,2018-10-24
399,2018-0113,2018-10-25,2018,10,25,CONDUCTOR,MOTO,MASCULINO,20,2018-10-25
400,2018-0114,2018-10-30,2018,10,30,CONDUCTOR,MOTO,MASCULINO,23,2018-10-30
401,2018-0115,2018-10-31,2018,10,31,PEATON,PEATON,MASCULINO,42,2018-11-01
402,2018-0116,2018-11-01,2018,11,1,PEATON,PEATON,MASCULINO,48,2018-11-08
403,2018-0117,2018-11-04,2018,11,4,CONDUCTOR,MOTO,MASCULINO,30,2018-11-08
404,2018-0118,2018-11-05,2018,11,5,PEATON,PEATON,FEMENINO,80,2018-11-05
405,2018-0119,2018-11-05,2018,11,5,PEATON,PEATON,FEMENINO,32,2018-11-06
406,2018-0120,2018-11-09,2018,11,9,PEATON,PEATON,FEMENINO,51,2018-11-20
407,2018-0121,2018-11-09,2018,11,9,PEATON,PEATON,FEMENINO,72,2018-11-09
408,2018-0122,2018-11-12,2018,11,12,CONDUCTOR,AUTO,MASCULINO,33,2018-11-12
409,2018-0123,2018-11-12,2018,11,12,CONDUCTOR,AUTO,MASCULINO,25,2018-11-12
410,2018-0124,2018-11-15,2018,11,15,CONDUCTOR,CARGAS,MASCULINO,44,2018-11-15
411,2018-0125,2018-11-16,2018,11,16,PEATON,PEATON,MASCULINO,29,2018-11-17
412,2018-0126,2018-11-18,2018,11,18,CONDUCTOR,MOTO,MASCULINO,27,2018-11-23
413,2018-0127,2018-11-19,2018,11,19,CONDUCTOR,MOTO,MASCULINO,29,2018-11-19
414,2018-0128,2018-11-25,2018,11,25,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49,2018-11-25
415,2018-0128,2018-11-25,2018,11,25,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,39,2018-11-25
416,2018-0129,2018-11-28,2018,11,28,CONDUCTOR,MOTO,MASCULINO,37,2018-11-30
417,2018-0130,2018-12-03,2018,12,3,CONDUCTOR,MOTO,MASCULINO,0,2018-12-03
418,2018-0131,2018-12-07,2018,12,7,CONDUCTOR,MOTO,MASCULINO,29,2018-12-07
419,2018-0132,2018-12-12,2018,12,12,PEATON,PEATON,MASCULINO,70,2018-12-12
420,2018-0133,2018-12-12,2018,12,12,PEATON,PEATON,FEMENINO,60,2018-12-12
421,2018-0134,2018-12-12,2018,12,12,PEATON,PEATON,MASCULINO,56,2018-12-13
422,2018-0135,2018-12-18,2018,12,18,PEATON,PEATON,MASCULINO,80,2018-12-22
423,2018-0136,2018-12-18,2018,12,18,PEATON,PEATON,FEMENINO,70,2018-12-18
424,2018-0137,2018-12-18,2018,12,18,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,2018-12-19
425,2018-0138,2018-12-21,2018,12,21,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,79,2018-12-21
